model	spec	phase	ctx	status	vram_mib	kib_per_tok	base_mib	derived_ceiling	prod_ctx
kat-apex	none	anchor_lo	32768	OK	26576	-	-	-	-
kat-apex	none	anchor_hi	131072	OK	28593	21.01	25904	239805	229376
kat-apex	none	verify	229376	OK	30609	21.01	25904	239805	229376
kat-apex	none	stretch	262144	OK	31281	21.01	25904	239805	229376
kat-apex	draft-mtp	anchor_lo	32768	OK	27107	-	-	-	-
kat-apex	draft-mtp	anchor_hi	131072	OK	29409	23.98	26340	191497	180224
kat-apex	draft-mtp	verify	180224	OK	30561	23.98	26340	191497	180224
kat-apex	draft-mtp	stretch	196608	OK	30945	23.98	26340	191497	180224
kat-q5km	none	anchor_lo	32768	OK	24461	-	-	-	-
kat-q5km	none	anchor_hi	131072	OK	26477	21.00	23789	262144	262144
kat-q5km	none	verify	262144	OK	29165	21.00	23789	262144	262144
qwopus-mtp	none	anchor_lo	32768	OK	24775	-	-	-	-
qwopus-mtp	none	anchor_hi	131072	OK	26792	21.01	24103	262144	262144
qwopus-mtp	none	verify	262144	OK	29480	21.01	24103	262144	262144
qwopus-mtp	draft-mtp	anchor_lo	32768	OK	25306	-	-	-	-
qwopus-mtp	draft-mtp	anchor_hi	131072	OK	27608	23.98	24539	262144	262144
qwopus-mtp	draft-mtp	verify	262144	OK	30680	23.98	24539	262144	262144
