backend	commit	depth	rep	prompt_tok	pp_tok_s	tg_tok_s	acc_pct	vram_mib	gpu_ok
vulkan	169e4a7	4096	1	4219	879.7	50.36	63.6	22867	no
vulkan	169e4a7	4096	2	4219	894.1	50.52	63.6	22867	no
vulkan	169e4a7	32768	1	32892	821.3	49.20	67.5	22867	no
vulkan	169e4a7	32768	2	32892	816.2	49.08	67.5	22867	no
vulkan	169e4a7	65536	1	65660	713.2	43.33	64.3	22867	no
vulkan	169e4a7	65536	2	65660	713.0	43.28	64.3	22867	no
hip	169e4a7	4096	1	4219	944.1	36.70	60.0	23119	no
hip	169e4a7	4096	2	4219	939.5	36.28	58.7	23119	no
hip	169e4a7	32768	1	32892	670.1	35.91	66.7	23119	no
hip	169e4a7	32768	2	32892	671.9	35.91	66.7	23119	no
hip	169e4a7	65536	1	65660	494.1	29.74	57.1	23119	no
hip	169e4a7	65536	2	65660	493.9	29.70	57.1	23119	no
hip-wmma	169e4a7	4096	1	4219	945.6	36.74	60.0	23119	no
hip-wmma	169e4a7	4096	2	4219	941.1	36.33	58.7	23119	no
hip-wmma	169e4a7	32768	1	32892	670.7	35.90	66.7	23119	no
hip-wmma	169e4a7	32768	2	32892	671.7	35.92	66.7	23119	no
hip-wmma	169e4a7	65536	1	65660	494.0	29.43	57.1	23119	no
hip-wmma	169e4a7	65536	2	65660	493.8	29.67	57.1	23119	no
