arm	ctx	cache_k	cache_v	depth	rep	prompt_tok	pp_tok_s	tg_tok_s	vram_mib	headroom_mib
A-q8V	262144	f16	q8_0	4096	1	4178	948.45	53.20	31843	781
A-q8V	262144	f16	q8_0	4096	2	4178	970.64	53.17	31845	779
A-q8V	262144	f16	q8_0	4096	3	4178	966.95	53.11	31845	779
A-q8V	262144	f16	q8_0	16384	1	16466	908.69	54.18	31845	779
A-q8V	262144	f16	q8_0	16384	2	16466	902.18	54.04	31845	779
A-q8V	262144	f16	q8_0	16384	3	16466	899.53	54.12	31845	779
A-q8V	262144	f16	q8_0	65536	1	65617	676.89	46.79	31845	779
A-q8V	262144	f16	q8_0	65536	2	65617	676.18	46.66	31846	778
A-q8V	262144	f16	q8_0	65536	3	65617	675.81	46.68	31846	778
A-q8V	262144	f16	q8_0	131072	1	131153	504.62	39.90	31847	777
A-q8V	262144	f16	q8_0	131072	2	131153	504.50	39.89	31847	777
A-q8V	262144	f16	q8_0	131072	3	131153	504.62	39.91	31847	777
A-q8V	262144	f16	q8_0	196608	1	196690	402.77	33.79	31849	775
A-q8V	262144	f16	q8_0	196608	2	196690	402.74	33.81	31850	774
A-q8V	262144	f16	q8_0	196608	3	196690	402.72	33.79	31850	774
A-q8V	262144	f16	q8_0	245760	1	245841	349.44	28.21	31850	774
A-q8V	262144	f16	q8_0	245760	2	245841	349.34	28.17	31850	774
A-q8V	262144	f16	q8_0	245760	3	245841	349.34	28.18	31850	774
B-f16	212992	f16	f16	4096	1	4178	952.37	52.29	32324	300
B-f16	212992	f16	f16	4096	2	4178	963.89	52.49	32325	299
B-f16	212992	f16	f16	4096	3	4178	960.36	52.38	32325	299
B-f16	212992	f16	f16	16384	1	16466	929.34	55.57	32325	299
B-f16	212992	f16	f16	16384	2	16466	925.94	55.78	32325	299
B-f16	212992	f16	f16	16384	3	16466	925.65	55.57	32325	299
B-f16	212992	f16	f16	65536	1	65617	746.66	47.49	32326	298
B-f16	212992	f16	f16	65536	2	65617	746.51	47.55	32326	298
B-f16	212992	f16	f16	65536	3	65617	746.34	47.53	32326	298
B-f16	212992	f16	f16	131072	1	131153	589.21	39.43	32327	297
B-f16	212992	f16	f16	131072	2	131153	588.97	39.45	32328	296
B-f16	212992	f16	f16	131072	3	131153	588.95	39.45	32328	296
B-f16	212992	f16	f16	196608	1	196690	486.84	36.37	32330	294
B-f16	212992	f16	f16	196608	2	196690	486.79	36.36	32331	293
B-f16	212992	f16	f16	196608	3	196690	486.72	36.40	32331	293
