arm	ctx	depth	n	pp_med	tg_med	pp_min	pp_max	tg_min	tg_max	vram_mib	headroom
A-q8V	262144	4096	3	967.0	53.17	948.5	970.6	53.11	53.20	31843	781
A-q8V	262144	16384	3	902.2	54.12	899.5	908.7	54.04	54.18	31845	779
A-q8V	262144	65536	3	676.2	46.68	675.8	676.9	46.66	46.79	31845	779
A-q8V	262144	131072	3	504.6	39.90	504.5	504.6	39.89	39.91	31847	777
A-q8V	262144	196608	3	402.7	33.79	402.7	402.8	33.79	33.81	31849	775
A-q8V	262144	245760	3	349.3	28.18	349.3	349.4	28.17	28.21	31850	774
B-f16	212992	4096	3	960.4	52.38	952.4	963.9	52.29	52.49	32324	300
B-f16	212992	16384	3	925.9	55.57	925.6	929.3	55.57	55.78	32325	299
B-f16	212992	65536	3	746.5	47.53	746.3	746.7	47.49	47.55	32326	298
B-f16	212992	131072	3	589.0	39.45	589.0	589.2	39.43	39.45	32327	297
B-f16	212992	196608	3	486.8	36.37	486.7	486.8	36.36	36.40	32330	294
