model	spec	depth	rep	prompt_tok	compl_tok	pp_tok_s	tg_tok_s	draft_n	draft_acc	acc_pct	vram_mib
kat-apex	none	4096	1	4178	192	2487.44	109.36	-	-	-	28530
kat-apex	none	4096	2	4178	192	2589.87	109.19	-	-	-	28530
kat-apex	none	4096	3	4178	192	2587.83	109.63	-	-	-	28530
kat-apex	none	16384	1	16466	192	2518.71	104.15	-	-	-	28530
kat-apex	none	16384	2	16466	192	2501.57	104.04	-	-	-	28530
kat-apex	none	16384	3	16466	192	2491.75	104.05	-	-	-	28530
kat-apex	none	65536	1	65617	192	1952.99	87.49	-	-	-	28530
kat-apex	none	65536	2	65617	192	1940.22	88.20	-	-	-	28530
kat-apex	none	65536	3	65617	192	1933.85	88.14	-	-	-	28530
kat-apex	draft-mtp	4096	1	4178	192	2295.43	150.24	194	126	64.9	29149
kat-apex	draft-mtp	4096	2	4178	192	2394.27	151.79	194	126	64.9	29149
kat-apex	draft-mtp	4096	3	4178	192	2389.98	151.61	194	126	64.9	29149
kat-apex	draft-mtp	16384	1	16466	192	2334.78	133.72	214	119	55.6	29149
kat-apex	draft-mtp	16384	2	16466	192	2331.66	131.70	217	118	54.4	29149
kat-apex	draft-mtp	16384	3	16466	192	2322.53	130.59	217	118	54.4	29149
kat-apex	draft-mtp	65536	1	65617	192	1818.13	121.04	204	122	59.8	29149
kat-apex	draft-mtp	65536	2	65617	192	1814.37	120.86	204	122	59.8	29149
kat-apex	draft-mtp	65536	3	65617	192	1814.10	120.91	204	122	59.8	29149
kat-q5km	none	4096	1	4178	192	2462.42	115.14	-	-	-	26414
kat-q5km	none	4096	2	4178	192	2573.33	115.10	-	-	-	26414
kat-q5km	none	4096	3	4178	192	2564.78	115.06	-	-	-	26414
kat-q5km	none	16384	1	16466	192	2502.99	109.07	-	-	-	26414
kat-q5km	none	16384	2	16466	192	2498.80	109.17	-	-	-	26414
kat-q5km	none	16384	3	16466	192	2490.86	109.18	-	-	-	26414
kat-q5km	none	65536	1	65617	192	1965.02	91.70	-	-	-	26414
kat-q5km	none	65536	2	65617	192	1960.60	91.81	-	-	-	26414
kat-q5km	none	65536	3	65617	192	1959.39	91.84	-	-	-	26414
qwopus-mtp	none	4096	1	4178	192	2506.50	118.38	-	-	-	26729
qwopus-mtp	none	4096	2	4178	192	2614.96	118.58	-	-	-	26729
qwopus-mtp	none	4096	3	4178	192	2610.71	118.40	-	-	-	26729
qwopus-mtp	none	16384	1	16466	192	2542.86	112.05	-	-	-	26729
qwopus-mtp	none	16384	2	16466	192	2538.86	112.25	-	-	-	26729
qwopus-mtp	none	16384	3	16466	192	2534.87	112.44	-	-	-	26729
qwopus-mtp	none	65536	1	65617	192	1989.87	93.99	-	-	-	26729
qwopus-mtp	none	65536	2	65617	192	1985.20	94.06	-	-	-	26729
qwopus-mtp	none	65536	3	65617	192	1982.71	93.48	-	-	-	26729
qwopus-mtp	draft-mtp	4096	1	4178	192	2365.87	187.70	164	136	82.9	27349
qwopus-mtp	draft-mtp	4096	2	4178	192	2466.89	196.43	161	137	85.1	27349
qwopus-mtp	draft-mtp	4096	3	4178	192	2465.66	196.96	161	137	85.1	27349
qwopus-mtp	draft-mtp	16384	1	16466	192	2406.69	185.49	165	136	82.4	27349
qwopus-mtp	draft-mtp	16384	2	16466	192	2405.16	185.96	165	136	82.4	27349
qwopus-mtp	draft-mtp	16384	3	16466	192	2400.98	185.86	165	136	82.4	27349
qwopus-mtp	draft-mtp	65536	1	65617	192	1865.95	134.33	196	125	63.8	27349
qwopus-mtp	draft-mtp	65536	2	65617	192	1861.89	134.50	196	125	63.8	27349
qwopus-mtp	draft-mtp	65536	3	65617	192	1861.39	134.35	196	125	63.8	27349
