model	spec	depth	n	pp_med	pp_min	pp_max	tg_med	tg_min	tg_max	acc_med	vram_mib
kat-apex	draft-mtp	4096	3	2390.0	2295.4	2394.3	151.61	150.24	151.79	64.9	29149
kat-apex	draft-mtp	16384	3	2331.7	2322.5	2334.8	131.70	130.59	133.72	54.4	29149
kat-apex	draft-mtp	65536	3	1814.4	1814.1	1818.1	120.91	120.86	121.04	59.8	29149
kat-apex	none	4096	3	2587.8	2487.4	2589.9	109.36	109.19	109.63	-	28530
kat-apex	none	16384	3	2501.6	2491.8	2518.7	104.05	104.04	104.15	-	28530
kat-apex	none	65536	3	1940.2	1933.8	1953.0	88.14	87.49	88.20	-	28530
kat-q5km	none	4096	3	2564.8	2462.4	2573.3	115.10	115.06	115.14	-	26414
kat-q5km	none	16384	3	2498.8	2490.9	2503.0	109.17	109.07	109.18	-	26414
kat-q5km	none	65536	3	1960.6	1959.4	1965.0	91.81	91.70	91.84	-	26414
qwopus-mtp	draft-mtp	4096	3	2465.7	2365.9	2466.9	196.43	187.70	196.96	85.1	27349
qwopus-mtp	draft-mtp	16384	3	2405.2	2401.0	2406.7	185.86	185.49	185.96	82.4	27349
qwopus-mtp	draft-mtp	65536	3	1861.9	1861.4	1866.0	134.35	134.33	134.50	63.8	27349
qwopus-mtp	none	4096	3	2610.7	2506.5	2615.0	118.40	118.38	118.58	-	26729
qwopus-mtp	none	16384	3	2538.9	2534.9	2542.9	112.25	112.05	112.44	-	26729
qwopus-mtp	none	65536	3	1985.2	1982.7	1989.9	93.99	93.48	94.06	-	26729
