model	variant	depth	rep	prompt_tok	compl_tok	ttft_s	prefill_tok_s	decode_tok_s	server_pp_tok_s	server_tg_tok_s	acc_pct	mem_mib	mem_kind	status	variant	patch	rendered_cmd	production
cyber-tiel	production	4096	1	4370	256	4.96	880.9	65.7	889.9	65.6	66.3	3938	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	/Users/briancappello/opt/llama.cpp-metal/bin/llama-server -ngl 999 --host 127.0.0.1 --port ${PORT} -m /Users/briancappello/.cache/huggingface/hub/models--peculiar-ragdoll--Cyber-Tiel-Coder-35B-A3B-GGUF-MTP/snapshots/fa19d4f33561dc0d107c2a2f8943f1ca2e288109/Cyber-Tiel-Coder-35B-A3B-MTP-UD-Q4_K_XL.gguf ${common} -c 131072 -np 1 --kv-unified --spec-type draft-mtp --reasoning-preserve --temp 0.6 --top-p 0.95 --top-k 20 --min-p 0.0	active
cyber-tiel	production	4096	2	4370	256	5.73	763.1	61.9	783.3	61.9	64.9	4308	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	/Users/briancappello/opt/llama.cpp-metal/bin/llama-server -ngl 999 --host 127.0.0.1 --port ${PORT} -m /Users/briancappello/.cache/huggingface/hub/models--peculiar-ragdoll--Cyber-Tiel-Coder-35B-A3B-GGUF-MTP/snapshots/fa19d4f33561dc0d107c2a2f8943f1ca2e288109/Cyber-Tiel-Coder-35B-A3B-MTP-UD-Q4_K_XL.gguf ${common} -c 131072 -np 1 --kv-unified --spec-type draft-mtp --reasoning-preserve --temp 0.6 --top-p 0.95 --top-k 20 --min-p 0.0	active
cyber-tiel	production	16384	1	16658	256	29.2	570.5	57.2	574.5	57.1	69.6	4419	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	/Users/briancappello/opt/llama.cpp-metal/bin/llama-server -ngl 999 --host 127.0.0.1 --port ${PORT} -m /Users/briancappello/.cache/huggingface/hub/models--peculiar-ragdoll--Cyber-Tiel-Coder-35B-A3B-GGUF-MTP/snapshots/fa19d4f33561dc0d107c2a2f8943f1ca2e288109/Cyber-Tiel-Coder-35B-A3B-MTP-UD-Q4_K_XL.gguf ${common} -c 131072 -np 1 --kv-unified --spec-type draft-mtp --reasoning-preserve --temp 0.6 --top-p 0.95 --top-k 20 --min-p 0.0	active
cyber-tiel	production	16384	2	16658	256	29.08	572.9	54.2	579.8	54.1	68.4	4735	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	/Users/briancappello/opt/llama.cpp-metal/bin/llama-server -ngl 999 --host 127.0.0.1 --port ${PORT} -m /Users/briancappello/.cache/huggingface/hub/models--peculiar-ragdoll--Cyber-Tiel-Coder-35B-A3B-GGUF-MTP/snapshots/fa19d4f33561dc0d107c2a2f8943f1ca2e288109/Cyber-Tiel-Coder-35B-A3B-MTP-UD-Q4_K_XL.gguf ${common} -c 131072 -np 1 --kv-unified --spec-type draft-mtp --reasoning-preserve --temp 0.6 --top-p 0.95 --top-k 20 --min-p 0.0	active
cyber-tiel-omlx	production	4096	1	4373	256	5.41	807.9	52.2	NA	NA	NA	23406	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	/Applications/oMLX.app/Contents/MacOS/omlx-cli serve --base-path /Users/briancappello/.config/llms/omlx --model-dir /Users/briancappello/.config/llms/omlx/models --no-hf-cache --paged-ssd-cache-max-size 10GB --max-concurrent-requests 1 --host 127.0.0.1 --port ${PORT}	active
cyber-tiel-omlx	production	4096	2	4373	256	4.26	1025.8	62.2	NA	NA	NA	22927	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	/Applications/oMLX.app/Contents/MacOS/omlx-cli serve --base-path /Users/briancappello/.config/llms/omlx --model-dir /Users/briancappello/.config/llms/omlx/models --no-hf-cache --paged-ssd-cache-max-size 10GB --max-concurrent-requests 1 --host 127.0.0.1 --port ${PORT}	active
cyber-tiel-omlx	production	16384	1	16661	256	16.1	1035.1	55.7	NA	NA	NA	24011	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	/Applications/oMLX.app/Contents/MacOS/omlx-cli serve --base-path /Users/briancappello/.config/llms/omlx --model-dir /Users/briancappello/.config/llms/omlx/models --no-hf-cache --paged-ssd-cache-max-size 10GB --max-concurrent-requests 1 --host 127.0.0.1 --port ${PORT}	active
cyber-tiel-omlx	production	16384	2	16661	256	15.55	1071.3	55.7	NA	NA	NA	23297	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	/Applications/oMLX.app/Contents/MacOS/omlx-cli serve --base-path /Users/briancappello/.config/llms/omlx --model-dir /Users/briancappello/.config/llms/omlx/models --no-hf-cache --paged-ssd-cache-max-size 10GB --max-concurrent-requests 1 --host 127.0.0.1 --port ${PORT}	active
cyber-tiel-omlx-nomtp	production	4096	1	4376	256	4.91	890.7	68.2	NA	NA	NA	22823	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	/Applications/oMLX.app/Contents/MacOS/omlx-cli serve --base-path /Users/briancappello/.config/llms/omlx --model-dir /Users/briancappello/.config/llms/omlx/models --no-hf-cache --paged-ssd-cache-max-size 10GB --max-concurrent-requests 1 --host 127.0.0.1 --port ${PORT}	active
cyber-tiel-omlx-nomtp	production	4096	2	4376	256	4.33	1011.3	64.5	NA	NA	NA	22857	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	/Applications/oMLX.app/Contents/MacOS/omlx-cli serve --base-path /Users/briancappello/.config/llms/omlx --model-dir /Users/briancappello/.config/llms/omlx/models --no-hf-cache --paged-ssd-cache-max-size 10GB --max-concurrent-requests 1 --host 127.0.0.1 --port ${PORT}	active
