model	variant	depth	rep	prompt_tok	compl_tok	ttft_s	prefill_tok_s	decode_tok_s	server_pp_tok_s	server_tg_tok_s	acc_pct	mem_mib	mem_kind	status	variant	patch	rendered_cmd	production
cyber-tiel	production	4096	1	4370	256	8.98	486.8	43.9	489.5	43.9	66.3	3953	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	/Users/briancappello/opt/llama.cpp-metal/bin/llama-server -ngl 999 --host 127.0.0.1 --port ${PORT} -m /Users/briancappello/.cache/huggingface/hub/models--peculiar-ragdoll--Cyber-Tiel-Coder-35B-A3B-GGUF-MTP/snapshots/fa19d4f33561dc0d107c2a2f8943f1ca2e288109/Cyber-Tiel-Coder-35B-A3B-MTP-UD-Q4_K_XL.gguf ${common} -c 131072 -np 1 --kv-unified --spec-type draft-mtp --reasoning-preserve --temp 0.6 --top-p 0.95 --top-k 20 --min-p 0.0	active
cyber-tiel	production	4096	2	4370	256	8.85	493.8	45.4	502.2	45.4	64.9	4321	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	/Users/briancappello/opt/llama.cpp-metal/bin/llama-server -ngl 999 --host 127.0.0.1 --port ${PORT} -m /Users/briancappello/.cache/huggingface/hub/models--peculiar-ragdoll--Cyber-Tiel-Coder-35B-A3B-GGUF-MTP/snapshots/fa19d4f33561dc0d107c2a2f8943f1ca2e288109/Cyber-Tiel-Coder-35B-A3B-MTP-UD-Q4_K_XL.gguf ${common} -c 131072 -np 1 --kv-unified --spec-type draft-mtp --reasoning-preserve --temp 0.6 --top-p 0.95 --top-k 20 --min-p 0.0	active
cyber-tiel	production	16384	1	16658	256	38.25	435.5	45.0	437.2	45.0	69.6	4407	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	/Users/briancappello/opt/llama.cpp-metal/bin/llama-server -ngl 999 --host 127.0.0.1 --port ${PORT} -m /Users/briancappello/.cache/huggingface/hub/models--peculiar-ragdoll--Cyber-Tiel-Coder-35B-A3B-GGUF-MTP/snapshots/fa19d4f33561dc0d107c2a2f8943f1ca2e288109/Cyber-Tiel-Coder-35B-A3B-MTP-UD-Q4_K_XL.gguf ${common} -c 131072 -np 1 --kv-unified --spec-type draft-mtp --reasoning-preserve --temp 0.6 --top-p 0.95 --top-k 20 --min-p 0.0	active
cyber-tiel	production	16384	2	16658	256	37.94	439.1	45.6	442.8	45.6	68.4	4722	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	/Users/briancappello/opt/llama.cpp-metal/bin/llama-server -ngl 999 --host 127.0.0.1 --port ${PORT} -m /Users/briancappello/.cache/huggingface/hub/models--peculiar-ragdoll--Cyber-Tiel-Coder-35B-A3B-GGUF-MTP/snapshots/fa19d4f33561dc0d107c2a2f8943f1ca2e288109/Cyber-Tiel-Coder-35B-A3B-MTP-UD-Q4_K_XL.gguf ${common} -c 131072 -np 1 --kv-unified --spec-type draft-mtp --reasoning-preserve --temp 0.6 --top-p 0.95 --top-k 20 --min-p 0.0	active
cyber-tiel-mlx	production	4096	1	4373	170	6.2	705.0	21.3	717.3	21.2	NA	20642	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	mlx_vlm.server --prefill-step-size 512 --max-tokens 32768 --host 127.0.0.1 --port ${PORT} --model /Users/briancappello/.cache/huggingface/hub/models--peculiar-ragdoll--Cyber-Tiel-Coder-35B-A3B-MLX-oQ4e-MTP/snapshots/c1471894c53a204b24fce56d673e9ce52c17310b	active
cyber-tiel-mlx	production	4096	2	4373	191	5.94	735.6	26.6	742.8	25.1	NA	20642	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	mlx_vlm.server --prefill-step-size 512 --max-tokens 32768 --host 127.0.0.1 --port ${PORT} --model /Users/briancappello/.cache/huggingface/hub/models--peculiar-ragdoll--Cyber-Tiel-Coder-35B-A3B-MLX-oQ4e-MTP/snapshots/c1471894c53a204b24fce56d673e9ce52c17310b	active
cyber-tiel-mlx	production	16384	1	16661	192	24.69	674.9	20.3	677.8	20.2	NA	20938	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	mlx_vlm.server --prefill-step-size 512 --max-tokens 32768 --host 127.0.0.1 --port ${PORT} --model /Users/briancappello/.cache/huggingface/hub/models--peculiar-ragdoll--Cyber-Tiel-Coder-35B-A3B-MLX-oQ4e-MTP/snapshots/c1471894c53a204b24fce56d673e9ce52c17310b	active
cyber-tiel-mlx	production	16384	2	16661	203	24.65	675.8	21.0	678.1	21.0	NA	20938	footprint	OK	production	"{""engines"": {}, ""entries"": {}, ""name"": ""production""}"	mlx_vlm.server --prefill-step-size 512 --max-tokens 32768 --host 127.0.0.1 --port ${PORT} --model /Users/briancappello/.cache/huggingface/hub/models--peculiar-ragdoll--Cyber-Tiel-Coder-35B-A3B-MLX-oQ4e-MTP/snapshots/c1471894c53a204b24fce56d673e9ce52c17310b	active
cyber-tiel	no-mtp	4096	1	4372	256	7.63	573.2	42.9	577.1	42.9	NA	3336	footprint	OK	no-mtp	"{""engines"": {}, ""entries"": {""cyber-tiel"": {""mtp"": false}}, ""name"": ""no-mtp""}"	/Users/briancappello/opt/llama.cpp-metal/bin/llama-server -ngl 999 --host 127.0.0.1 --port ${PORT} -m /Users/briancappello/.cache/huggingface/hub/models--peculiar-ragdoll--Cyber-Tiel-Coder-35B-A3B-GGUF-MTP/snapshots/fa19d4f33561dc0d107c2a2f8943f1ca2e288109/Cyber-Tiel-Coder-35B-A3B-MTP-UD-Q4_K_XL.gguf ${common} -c 131072 -np 1 --kv-unified --reasoning-preserve --temp 0.6 --top-p 0.95 --top-k 20 --min-p 0.0	active
cyber-tiel	no-mtp	4096	2	4372	256	7.59	576.2	44.5	584.1	44.5	NA	3678	footprint	OK	no-mtp	"{""engines"": {}, ""entries"": {""cyber-tiel"": {""mtp"": false}}, ""name"": ""no-mtp""}"	/Users/briancappello/opt/llama.cpp-metal/bin/llama-server -ngl 999 --host 127.0.0.1 --port ${PORT} -m /Users/briancappello/.cache/huggingface/hub/models--peculiar-ragdoll--Cyber-Tiel-Coder-35B-A3B-GGUF-MTP/snapshots/fa19d4f33561dc0d107c2a2f8943f1ca2e288109/Cyber-Tiel-Coder-35B-A3B-MTP-UD-Q4_K_XL.gguf ${common} -c 131072 -np 1 --kv-unified --reasoning-preserve --temp 0.6 --top-p 0.95 --top-k 20 --min-p 0.0	active
cyber-tiel	no-mtp	16384	1	16660	256	34.03	489.6	39.8	491.5	39.8	NA	3700	footprint	OK	no-mtp	"{""engines"": {}, ""entries"": {""cyber-tiel"": {""mtp"": false}}, ""name"": ""no-mtp""}"	/Users/briancappello/opt/llama.cpp-metal/bin/llama-server -ngl 999 --host 127.0.0.1 --port ${PORT} -m /Users/briancappello/.cache/huggingface/hub/models--peculiar-ragdoll--Cyber-Tiel-Coder-35B-A3B-GGUF-MTP/snapshots/fa19d4f33561dc0d107c2a2f8943f1ca2e288109/Cyber-Tiel-Coder-35B-A3B-MTP-UD-Q4_K_XL.gguf ${common} -c 131072 -np 1 --kv-unified --reasoning-preserve --temp 0.6 --top-p 0.95 --top-k 20 --min-p 0.0	active
cyber-tiel	no-mtp	16384	2	16660	256	34.12	488.2	40.0	491.1	40.0	NA	3937	footprint	OK	no-mtp	"{""engines"": {}, ""entries"": {""cyber-tiel"": {""mtp"": false}}, ""name"": ""no-mtp""}"	/Users/briancappello/opt/llama.cpp-metal/bin/llama-server -ngl 999 --host 127.0.0.1 --port ${PORT} -m /Users/briancappello/.cache/huggingface/hub/models--peculiar-ragdoll--Cyber-Tiel-Coder-35B-A3B-GGUF-MTP/snapshots/fa19d4f33561dc0d107c2a2f8943f1ca2e288109/Cyber-Tiel-Coder-35B-A3B-MTP-UD-Q4_K_XL.gguf ${common} -c 131072 -np 1 --kv-unified --reasoning-preserve --temp 0.6 --top-p 0.95 --top-k 20 --min-p 0.0	active
